step,current_x,current_y,move_x,move_y,degree,Q,P,N,PUCT,is_best
39,7,9,8,7,4,-0.00662,0.33333,151,0.04246,0
40,5,8,3,9,3,0.0,0.37333,187,0.04445,1
40,5,8,3,7,4,0.0,0.28,140,0.04445,0
40,5,8,4,6,7,0.0,0.16,80,0.04421,0
40,5,8,6,6,6,0.0,0.18667,93,0.04445,0
41,3,9,1,8,3,0.0,0.42553,213,0.04451,1
41,3,9,2,7,5,0.0,0.25532,128,0.0443,0
41,3,9,4,7,4,0.0,0.31915,159,0.04465,0
42,1,8,0,6,3,0.0,0.4,200,0.04454,1
42,1,8,2,6,6,0.0,0.2,100,0.04432,0
42,1,8,3,7,3,0.0,0.4,200,0.04454,0
43,0,6,2,7,4,0.0,0.35714,179,0.04441,1
43,0,6,1,4,5,0.0,0.28571,143,0.04441,0
43,0,6,2,5,4,0.0,0.35714,178,0.04466,0
44,2,7,1,9,2,0.0,0.46154,231,0.04453,1
44,2,7,1,5,4,0.0,0.23077,115,0.04453,0
44,2,7,3,5,6,0.0,0.15385,77,0.04415,0
44,2,7,4,6,6,0.0,0.15385,77,0.04415,0
45,1,9,0,7,2,0.0,0.6,300,0.04462,1
45,1,9,3,8,3,0.0,0.4,200,0.04454,0
46,0,7,1,5,3,0.0,0.625,313,0.04455,1
46,0,7,2,6,5,0.0,0.375,187,0.04465,0
47,1,5,0,3,3,0.0,0.47619,238,0.0446,1
47,1,5,2,3,6,0.0,0.2381,119,0.04441,0
47,1,5,3,4,5,0.0,0.28571,143,0.04441,0
48,0,3,2,4,3,0.0,0.38462,193,0.04438,1
48,0,3,1,1,3,0.0,0.38462,192,0.04461,0
48,0,3,2,2,5,0.0,0.23077,115,0.04453,0
49,2,4,4,5,6,0.0,0.28571,143,0.04441,0
49,2,4,3,2,4,0.0,0.42857,214,0.04462,1
49,2,4,4,3,6,0.0,0.28571,143,0.04441,0
50,3,2,5,3,5,0.0,0.1875,94,0.04418,0
50,3,2,4,4,6,0.0,0.15625,78,0.04427,0
50,3,2,1,1,2,0.0,0.46875,234,0.04465,1
50,3,2,5,1,5,0.0,0.1875,94,0.04418,0
51,1,1,2,3,5,0.0,0.375,187,0.04465,0
51,1,1,3,0,3,0.0,0.625,313,0.04455,1
